systemfigur: Peter Denning, Kathryn McKinley, David Patterson, Hctor GarcaMolina, Mark Doernhoefer, Donald Towsley, Martin Rinard, Frans Kaashoek, Mahmut T Kandemir, Mark Hill, Lixia Zhang, Thomas Anderson, Randy Katz, Alexander Aiken, Henry Levy, Philip S Yu, Michael Carey, Monica Lam, Trevor Mudge, Rachid Guerraoui, Amer Diwan, David DeWitt, Margaret Martonosi, Ion Stoica, Peter Henderson, Christoforos Kozyrakis, Yuanyuan Zhou, David Wood, Michael Hicks, Sarita V Adve
betterperform: Kathryn McKinley, David Patterson, Scott Shenker, Hctor GarcaMolina, Rajeev Gupta, Frans Kaashoek, Mahmut T Kandemir, Mark Thorson, Mark Hill, Lixia Zhang, Thomas Anderson, Randy Katz, John Hennessy, Joseph Hellerstein, Philip S Yu, Michael Carey, Marianne Winslett, Nikil D Dutt, Thomas Gro, Phillip B Gibbons, Amer Diwan, David DeWitt, Margaret Martonosi, Edward Lazowska, Deborah Estrin, Christoforos Kozyrakis, Saman Amarasinghe, David R Cheriton, Yuanyuan Zhou, David Wood
programsystem: Peter Denning, Kathryn McKinley, Robert Ashenhurst, David Patterson, Peter Neumann, Martin Rinard, Frans Kaashoek, Mark Hill, Ben Shneiderman, Thomas Anderson, Mary Lou Soffa, Henry Levy, Monica Lam, James Larus, Rockford Ross, Rachid Guerraoui, David Bacon, James Gray, Edward Lazowska, Brad Myers, Peter Henderson, Christoforos Kozyrakis, David Parnas, Barbara Liskov, Mary Beth Rosson, Michael Hicks, Andries van Dam, Susan Eggers, Sarita V Adve, Yannis Ioannidis
applicdata: Kathryn McKinley, Scott Shenker, Hctor GarcaMolina, Mark Doernhoefer, Martin Rinard, Frans Kaashoek, Michael Stonebraker, Mahmut T Kandemir, Lixia Zhang, Thomas Anderson, John Hennessy, Henry Levy, Philip S Yu, Jon Crowcroft, Nikil D Dutt, Amin Vahdat, Monica Lam, Phillip B Gibbons, Margaret Martonosi, Ion Stoica, Deborah Estrin, Brad Myers, Christoforos Kozyrakis, Saman Amarasinghe, Ramesh Govindan, Mary Beth Rosson, Larry Peterson, David R Cheriton, Yuanyuan Zhou, Michael Hicks
systemmodel: Peter Denning, Robert Ashenhurst, Peter Neumann, Hctor GarcaMolina, Donald Towsley, Mahmut T Kandemir, Mark Thorson, Mark Hill, Thomas Anderson, John Hennessy, Henry Levy, Philip S Yu, Michael Carey, Marianne Winslett, Nikil D Dutt, Amin Vahdat, Jeffrey Ullman, Andy Wellings, Rachid Guerraoui, David Bacon, Alan Burns, James Gray, Edward Lazowska, Ion Stoica, Barbara Liskov, Larry Peterson, David Wood, Kang G Shin, Yale N Patt, John M Carroll
performfigur: Kathryn McKinley, David Patterson, Scott Shenker, Hctor GarcaMolina, Rajeev Gupta, Frans Kaashoek, Mahmut T Kandemir, Lixia Zhang, Thomas Anderson, Mary Lou Soffa, John Hennessy, Henry Levy, Nikil D Dutt, Amin Vahdat, Trevor Mudge, James Larus, Phillip B Gibbons, Rachid Guerraoui, David Bacon, Margaret Martonosi, Edward Lazowska, Christoforos Kozyrakis, Yuanyuan Zhou, Nick Feamster, Susan Eggers, Sarita V Adve, Anoop Gupta, Yale N Patt, Lieven Eeckhout, Brian Bershad
programdata: Kathryn McKinley, Robert Ashenhurst, Rajeev Gupta, Martin Rinard, Mahmut T Kandemir, Mark Thorson, Mark Hill, Thomas Anderson, Alexander Aiken, John Hennessy, Nikil D Dutt, Monica Lam, James Larus, Thomas Gro, Rockford Ross, Amer Diwan, Rastislav Bodk, Margaret Martonosi, Mooly Sagiv, Henry M Walker, Brad Myers, Saman Amarasinghe, David Parnas, Barbara Liskov, Michael Hicks, Susan Eggers, Sarita V Adve, Paul Frenger, Frank Mueller, Anoop Gupta
examplprogram: Peter Denning, Kathryn McKinley, Robert Ashenhurst, Hctor GarcaMolina, Mark Doernhoefer, Rajeev Gupta, Martin Rinard, Frans Kaashoek, Mahmut T Kandemir, Ben Shneiderman, Mary Lou Soffa, Randy Katz, Alexander Aiken, Joseph Hellerstein, James Larus, Thomas Gro, Rockford Ross, Amer Diwan, Rastislav Bodk, David Bacon, Alan Burns, Mooly Sagiv, Ion Stoica, Brad Myers, Christoforos Kozyrakis, Mary Beth Rosson, David R Cheriton, Michael Hicks, Sarita V Adve, Paul Frenger
controlsystem: Peter Denning, Kathryn McKinley, Robert Ashenhurst, Peter Neumann, Hctor GarcaMolina, Mark Doernhoefer, Donald Towsley, Martin Rinard, Frans Kaashoek, Michael Stonebraker, Mahmut T Kandemir, Diane Crawford, Ben Shneiderman, Philip S Yu, Jon Crowcroft, Nikil D Dutt, Amin Vahdat, Andy Wellings, Thomas Gro, David Bacon, Alan Burns, Margaret Martonosi, Deborah Estrin, Peter Henderson, David R Cheriton, Paul Frenger, Frank Mueller, Kang G Shin, George NevilleNeil, Peter Wegner
memorirefer: Peter Denning, Kathryn McKinley, Hctor GarcaMolina, Rajeev Gupta, Mahmut T Kandemir, Mark Thorson, Mark Hill, Thomas Anderson, Mary Lou Soffa, Randy Katz, Alexander Aiken, John Hennessy, Henry Levy, Nikil D Dutt, Monica Lam, Trevor Mudge, James Larus, Phillip B Gibbons, Rachid Guerraoui, Amer Diwan, Rastislav Bodk, David Bacon, Margaret Martonosi, Edward Lazowska, Christoforos Kozyrakis, Saman Amarasinghe, David R Cheriton, Yuanyuan Zhou, David Wood, Susan Eggers
